file_name,caption_1,caption_2,caption_3,caption_4,caption_5,caption_6,caption_7,caption_8,caption_9,caption_10
Distorted AM Radio noise.wav,a muddled noise of broken channel of the tv,a television blares the rhythm of a static tv ,loud television static dips in and out of focus,the loud buzz of static constantly changes pitch and volume ,heavy static and the beginnings of a signal on a transistor radio,a faint noise of broken channel of the tv,a television blares the rhythm of a static.,loud television static dips in and out from focus,the loud buzz of static constantly changes direction and volume,heavy static and the beginnings like a signal on a transistor radio
Paper_Parchment_Rustling.wav,a person is turning a map over and over ,a person is very carefully rapping a gift for someone else ,a person is very carefully wrapping a gift for someone else ,he sighed as he turned the pages of the book stopping to scan the information ,papers are being turned stopped then turned again and someone is breathing ,a person is shown a map over and over,a man is very carefully rapping a gift for someone else,a person is very carefully wrapping a gift for somebody else,he asked as he turned the pages of the book stopping to scan the information,"papers are being turned, then turned again and someone is breathing"
03 Whales Slowing Down.wav,several barnyard animals mooing in a barn while it rains outside ,the vocalization of several whales along with the clicking of large numbers of shrimp reverberated below in the water ,underwater large numbers of shrimp clicking and several whales vocalizing ,whales sing to one another over the flowing water in the distance ,wales sing to one another with water flowing in the background,several barnyard animals mooing in a barn while it is outside,the vocalization of several whales along with the clicking of large numbers of whales reverberated below in the water,underwater large numbers of birds clicking and several whales vocalizing,whales sing to one another in the flowing water in the distance,wales sing to each another with water flowing in the background
Rope tied to boat in port.wav,an office chair is squeaking as someone bends back and forth in it ,popping and squeaking gradually tapers off to a low level ,someone is opening a creaky door slowly while a dog barks in the background,squeaking and popping followed by gradual popping and tapering off ,an office chair is squeaking as someone leans forward and backward in it,an office chair is squeaking as someone bends forward and forth in it,popping and squeaking gradually faded off to a low level,someone is opening a creaky window slowly while a dog barks in the background,squeaking and popping followed by gradual popping and popping off,an office chair is squeaking as someone falls forward and backward in it
carpenter bee.wav,a flying bee is buzzing loudly around an object and its wing hits it ,an annoying fly is buzzing loudly and consistently ,an insect buzzing in the foreground as birds chirp in the background ,an insect trapped in a spider web struggles breaks free and flies away ,outdoors insect trapped in a spider web and then breaks loose and flies away ,a flying bee is buzzing loudly around an object and its buzzing hits it,an annoying bee is buzzing loudly and consistently,an insect buzzing in the foreground as birds fly in the background,an insect trapped in a spider - struggles breaks free and flies away,outdoors insect trapped in a spider web and then breaks loose and flies.
violin1.wav,a bow playing a stringed instrument in a one note tone repeatedly before violins join to create the melody ,a low stringed instrument drones a steady tone and is eventually joined by violins ,a large stringed instrument and a pair of violins are playing ,a musical instrument creates a tune and is followed by other instruments ,an orchestra practicing for an upcoming concert in an enclosed room ,a bow playing a stringed instrument in a one note tone repeatedly before violins join to create the.,a low stringed instrument has a steady tone and is eventually joined by violins,a large stringed instrument and a pair of violins are.,a musical instrument creates a tune and sounds followed by other instruments,an orchestra practicing for an upcoming concert in the enclosed room
121006_rain&amp;storm.wav,as thunder claps far in the distance the rain pours down ,rain pours down and thunder claps far in the distance ,substantial rain and wind are pouring and spouting around and thunder is available ,the rain falls down the thunder is rumbling as someone is pounding and a car passes ,the rain falls down while someone is pounding a car passes by and the thunder is rumbling,"as thunder claps, in the distance the rain pours down",rain pours down and rain claps far in the distance,substantial rain and wind are pouring and all around and thunder is available,the rain falls down and thunder is rumbling as someone is pounding and a car passes,"the rain falls down, someone is pounding a car passes by and the thunder is rumbling"
draaiorgel2.wav,something goes round that is playing its song ,at the fair music is playing near a carousel through the speaker ,chiming of bells whistles and horns at a performance ,fair kind music is being played at the circus grounds ,polka or fair kind of music is being played ,something goes round that is playing its.,at the fair music is playing near a window through the speaker,chiming of the whistles and horns at a performance,fair kind music is being performed at the circus grounds,polka or fair kind of music is also played
Officejet Printer.wav,a paper printer is printing off multiple pages ,a printer printing off multiple pages of paper,a small printing device performing duties and printing pages of text ,a tiny printer performs its duties and prints the words ,an automatic cutter feeds paper and cuts it ,a paper printer for printing off multiple pages,a printer printing off the pages of paper,a small printing device performing duties and printing pages of ;,a tiny printer performs its job and prints the words,an automatic cutter takes paper and cuts it
Stockholm subway C20 train departing.wav,a buzzer warns of departure a air brake is released while a roller coaster ride takes off ,a horn beeps for an amusement park ride air brakes release and the ride takes off ,a warning button sounds then a vehicle goes at a high speed ,after a horn beeps for an amusement park ride the air brakes release and the ride begins ,first comes a beeping sound then a door closing then the train starts to speed up ,a buzzer warns of departure a air brake is released while a roller coaster ride is off,a horn beeps for an amusement park ride air brakes release and the plane takes off,a warning button sounds when a vehicle goes at a high speed,after a horn beeps for the amusement park ride the air brakes release and the ride begins,first comes a beeping sound then a window closing then the train starts to speed up
